Plant_ID,Plant_Name,Plant_Nameplate_Capacity,Cap_Factor,CO2EQ_2023,State_x,LAT,LON,Annual_MWh,CO2_Intensity,PV Gain (mil$),State_y
10862,Archer Daniels Midland Lincoln,7.9,0.13022,5630.956,Nebraska,40.866463,-96.614486,9011.744880000002,0.6248463616071651,9.64718175741482,NE
6077,Gerald Gentleman Station,1362.6,0.64316,7946068.274,Nebraska,41.0808,-101.1408,7676999.588159999,1.0350486779047088,6725.536668537022,NE
60,Gerald Whelan Energy Center,324.3,0.38562,1209956.462,Nebraska,40.580872,-98.312437,1095495.51816,1.1044832607186283,1125.3880997239798,NE
2240,Lon D Wright Power Plant,172.3,0.34557,499415.598,Nebraska,41.4281,-96.4623,521585.38836,0.9574953768745179,484.4961065010258,NE
6096,Nebraska City Station,1389.6,0.48945,6529190.425,Nebraska,40.6214,-95.7764,5958023.947199999,1.0958650859515968,5786.064388449091,NE
2291,North Omaha Station,644.7,0.27791,1750734.826,Nebraska,41.32909,-95.94466,1569516.73452,1.1154610763264154,1766.9833588269153,NE
59,Platte,109.8,0.37621,490344.851,Nebraska,40.854765,-98.348222,361856.83608,1.3550796948094512,450.9688221687263,NE
2277,Sheldon,228.7,0.35984,909216.152,Nebraska,40.5589,-96.7847,720907.77408,1.2612100808044597,848.5980758656219,NE
2364,Merrimack,496.4,0.03719,187469.564,New Hampshire,43.1411,-71.4692,161719.37616,1.159227598148311,522.3215667546463,NH
2442,Four Corners Steam Elec Station,1636.2,0.51872,7912301.685,New Mexico,36.69,-108.4814,7434871.85664,1.0642149370649359,6944.008862826635,NM
8224,North Valmy,567.0,0.19766,1361146.733,Nevada,40.881317,-117.151605,981761.4072,1.3864333258749835,1458.9049877622544,NV
56224,TS Power Plant,242.0,0.51217,1199786.185,Nevada,40.7461,-116.5297,1085759.4264,1.1050202796563076,1054.147927154922,NV
2828,Cardinal,1880.4,0.58764,10197585.618,Ohio,40.2522,-80.6486,9679784.722560002,1.0534930176942052,8758.191835835643,OH
54207,Clevelandcliffs Warren,13.0,0.41735,13444.269,Ohio,41.2119,-80.8176,47527.818,0.28287158059728307,14.76792708720657,OH
